Price;Age;KM;HP;MetColor;Automatic;Doors;Weight
22814.0;173;71275;183;0;1;4;2850
22740.0;48;157338;164;1;0;4;2638
21269.0;118;141482;160;1;0;4;1501
24291.0;193;53691;195;0;0;5;1934
14189.0;68;184870;70;0;0;4;1031
19976.0;196;87357;173;0;0;4;2743
20327.0;104;74434;88;0;1;4;1185
34402.0;10;99123;195;1;0;4;1064
27081.0;22;154303;188;1;0;4;2383
26303.0;37;14724;93;0;0;4;1824
19590.0;88;28314;56;0;0;4;963
20836.0;71;32479;65;0;1;4;2014
17392.0;89;30025;61;1;1;4;2703
21403.0;141;147662;180;0;1;4;2486
10066.0;59;190834;61;0;0;4;2685
25798.0;194;36838;157;1;1;2;1059
29463.0;40;23491;130;0;0;4;2178
29972.0;88;19672;169;1;0;4;1940
20149.0;175;96802;140;0;0;4;964
28580.0;89;100868;181;0;0;4;1166
24542.0;82;147906;169;0;0;4;1844
11111.0;166;198642;106;0;0;5;2057
18544.0;26;78929;57;0;0;4;2981
25918.0;78;61620;131;0;0;4;1823
19310.0;73;52993;64;0;0;4;1494
30710.0;10;112046;170;1;1;2;1541
25515.0;149;107055;188;1;0;4;1975
23795.0;116;135061;171;1;0;4;1470
14968.0;198;71439;98;0;0;4;2041
23167.0;80;20352;134;0;0;4;2727
22743.0;176;19297;117;1;0;2;1452
16574.0;193;141968;131;1;0;4;1040
24483.0;83;17003;102;0;1;4;1723
24510.0;100;78478;131;1;0;4;1004
26105.0;178;28761;175;1;0;4;1514
17931.0;30;178511;73;0;0;4;1227
20322.0;148;134492;144;1;0;4;1038
14240.0;148;108897;68;0;0;5;843
21009.0;143;86858;147;0;1;3;2598
22564.0;168;100804;160;0;1;4;1511
17416.0;33;132376;61;0;0;3;1363
21934.0;194;57280;155;0;0;4;1474
21835.0;10;110330;103;0;1;4;2272
9580.0;186;172661;95;1;0;3;2535
27256.0;128;89631;188;0;0;4;1586
30680.0;33;144544;198;0;1;4;1600
25538.0;32;40428;92;0;0;4;802
19060.0;152;67444;114;1;1;5;2400
22127.0;164;72889;168;0;0;4;1694
24247.0;115;92582;150;0;0;4;1564
15514.0;184;143806;151;0;0;2;2595
23839.0;29;33436;87;1;0;4;1694
26056.0;35;28905;117;1;1;4;2810
31429.0;129;31981;193;0;0;4;931
27411.0;129;81473;195;0;0;4;2054
26635.0;165;50463;148;0;1;4;1626
21465.0;54;71589;119;0;0;5;2850
26887.0;134;24361;145;1;0;4;1781
37192.0;39;26875;188;0;0;4;975
24508.0;18;41661;91;1;0;2;2335
22793.0;80;138751;138;0;0;4;910
26955.0;133;81723;182;1;1;4;2418
13836.0;106;167294;60;0;0;4;1054
24959.0;43;131983;147;0;1;4;2416
21077.0;187;73201;138;0;1;4;2113
33074.0;32;89977;195;1;0;4;869
32225.0;121;35857;190;0;1;4;1903
30321.0;2;44606;135;0;0;4;1293
12204.0;66;136923;55;0;0;5;2104
24299.0;170;10028;129;0;0;3;1156
27929.0;58;156249;186;1;0;4;1689
22299.0;36;127741;116;0;1;4;2269
25270.0;103;44920;122;1;1;4;1901
25766.0;120;123019;199;1;1;4;2348
32516.0;12;60082;167;0;0;4;1510
22554.0;175;27036;139;1;0;4;1937
31245.0;83;43212;171;0;1;4;931
20819.0;92;87032;111;1;0;3;1728
12578.0;129;170807;117;0;0;4;2513
19163.0;143;87570;103;0;1;4;875
33158.0;100;6384;172;0;0;2;868
20115.0;54;84403;64;0;0;4;1130
21076.0;141;70599;134;1;0;2;1670
25152.0;122;107303;187;0;0;4;2372
28046.0;171;56654;199;0;0;4;2301
24228.0;85;67729;126;0;0;4;1593
23543.0;69;57668;117;1;0;2;1347
24733.0;7;24055;78;0;0;4;1760
11320.0;197;182571;146;0;0;4;2656
26453.0;48;96980;165;0;0;4;1832
17624.0;128;41209;62;1;1;4;1747
15270.0;132;144082;77;0;0;4;882
24875.0;101;64618;153;0;0;4;2353
20982.0;181;84073;135;1;0;3;847
21172.0;79;56115;102;0;0;2;2379
21712.0;144;76299;169;1;0;4;2595
13323.0;149;155412;66;1;0;4;1100
18252.0;187;58121;133;0;0;4;2923
26098.0;24;19705;85;1;0;4;1874
16010.0;142;192520;145;0;0;4;1995
22704.0;118;30274;89;0;1;4;1519
20534.0;86;87212;109;0;0;4;1787
28958.0;49;36075;136;0;0;4;1374
24049.0;50;58251;126;0;0;4;2197
27401.0;70;75882;164;0;0;5;1141
20606.0;170;28417;114;1;0;4;1724
26540.0;164;18729;167;1;0;4;1755
12869.0;193;159908;123;0;0;4;1913
19352.0;96;61132;68;0;0;4;1258
19575.0;198;74658;156;0;0;4;2337
17452.0;95;71272;74;0;0;4;1306
26779.0;1;162944;162;0;0;2;1721
12116.0;114;107765;63;0;0;5;2249
22112.0;179;88891;151;0;1;4;1837
26709.0;37;147537;179;1;0;4;2036
21157.0;163;84285;155;0;0;4;2471
28271.0;49;111693;184;1;0;4;1112
34531.0;94;38374;188;1;0;4;1141
9984.0;132;154576;85;0;0;4;2885
19519.0;99;50302;74;1;1;4;2254
15353.0;43;126684;59;0;0;4;2035
16631.0;113;194575;161;1;0;4;2298
14717.0;150;121419;129;0;0;4;2519
27406.0;128;20835;178;0;0;4;2216
23086.0;1;143860;115;0;0;4;1039
21967.0;139;57547;148;0;0;2;1477
16762.0;115;109550;95;0;0;4;1763
24522.0;44;29404;95;1;0;4;1486
12889.0;187;163023;114;1;0;4;1544
19738.0;128;43111;84;1;1;5;1225
31248.0;24;16909;149;0;0;2;1660
23670.0;188;106723;181;1;0;4;1881
14315.0;131;104435;71;0;0;4;1815
24546.0;122;102182;154;1;0;4;1505
17567.0;99;150353;120;1;0;4;2259
16611.0;63;154459;78;0;0;4;1501
26470.0;164;65935;183;1;0;3;1165
16132.0;124;196637;142;0;0;4;2533
12079.0;196;94564;92;0;0;4;1754
29730.0;83;18704;166;0;0;2;1151
14944.0;175;186931;144;0;1;4;1736
21616.0;149;145846;189;1;1;4;2921
27779.0;51;78728;156;0;0;5;1155
16923.0;156;78064;96;0;0;4;1509
28074.0;15;133089;167;1;1;4;1481
19347.0;42;155003;98;0;1;4;1596
29157.0;59;73219;165;0;0;4;1579
18403.0;194;160991;173;0;0;4;1315
17299.0;37;85992;77;0;0;4;2755
34811.0;11;33954;164;0;0;5;846
28564.0;87;126550;194;1;0;4;1935
20558.0;44;76712;66;0;1;2;1878
29083.0;105;98299;190;1;1;4;1513
28181.0;12;175438;174;0;0;4;999
25047.0;3;10985;81;0;0;2;2846
26083.0;52;42292;103;0;1;4;1740
23477.0;81;104131;151;1;0;4;2446
30010.0;33;80577;155;0;0;4;1473
11626.0;183;192058;137;0;0;4;2922
19932.0;129;146485;142;0;0;5;1175
18878.0;39;35441;57;0;0;5;2638
21549.0;20;73740;63;0;0;4;1728
8802.0;175;196929;65;0;0;4;1011
14096.0;43;136165;60;0;0;4;2247
20373.0;116;40235;93;0;0;2;1214
14116.0;185;172618;155;0;0;4;2703
23671.0;189;70940;172;1;0;5;1999
25481.0;78;10037;114;0;0;4;1694
26996.0;31;161857;188;0;0;4;1928
14606.0;25;182103;60;0;0;4;1503
17719.0;126;86572;93;1;0;4;1943
29881.0;3;81478;143;1;0;4;1934
34276.0;4;21881;139;1;0;5;1669
19997.0;95;192890;169;0;0;4;2235
11013.0;108;159829;64;0;1;4;2853
36625.0;14;14630;187;1;0;3;1859
18845.0;113;100597;79;0;1;4;1677
24229.0;41;101087;149;0;0;4;2460
28640.0;73;112234;185;0;0;4;1416
25392.0;20;110033;138;1;0;4;2985
25280.0;96;170402;186;1;0;4;1099
22585.0;73;67838;132;1;0;4;2467
11205.0;155;161108;66;0;0;4;907
21661.0;195;101975;196;0;0;4;2294
20292.0;181;69866;136;0;1;4;2570
22921.0;68;164322;153;0;1;5;932
16794.0;62;102254;76;0;0;4;2493
33791.0;15;21080;177;0;0;4;1116
25323.0;97;135621;156;0;0;5;802
29388.0;5;63812;155;0;0;4;1893
20942.0;196;61111;166;1;0;4;2383
11044.0;140;134018;66;0;0;4;2028
23423.0;87;75272;152;0;0;4;2481
26278.0;122;8466;167;0;1;4;2927
17638.0;110;25427;66;1;0;4;2377
21179.0;76;75238;80;0;0;4;1720
19731.0;185;43406;152;1;0;4;2339
31595.0;17;45621;150;0;1;3;1983
11319.0;153;184445;100;0;0;4;1254
14739.0;158;52273;61;0;1;4;2847
26478.0;150;44078;144;0;1;4;897
17702.0;111;139059;143;1;0;5;2695
19116.0;26;157146;93;0;0;4;2142
17440.0;189;33039;106;0;0;4;1751
11721.0;122;122569;71;1;0;4;2955
6576.0;119;174641;58;1;1;5;2646
